id,no_farmacia,ds_endereco_farmacia,no_cidade,uf
22579,FARMACIA E DROGARIA MAURICIO & DANIELA LTDA EPP,"PRAÇA PADRE FIALHO, 320",MATIPO,MG
22580,FARMACIA ULISSES LTDA,"AVENIDA BRASILIA, 1.580",MEDIANEIRA,PR
22581,P. F. DO NASCIMENTO FARMACIA - ME,AVENIDA BRASIL 02,CHARQUEADA,SP
22582,GILMARA GALVAO - ME,RUA GABRIEL FRECEIRO DE MIRANDA 718,CAMBE,PR
22583,FARMARA LTDA - ME,Rua JOAO MENDES 540,EXTREMA,MG
22584,TAKAHASHI & VIEIRA LTDA.,"EDUVALDO V DO CARMO, 621",SANTA HELENA DE GOIAS,GO
22585,DROGATIM DROGARIAS LTDA,"JOAQUIM TORRES, Nº 573",JOAO PESSOA,PB
22586,CID WALMOR BUBLITZ & CIA LTDA,"CARLOS VON KOZERITZ, 487",LAJEADO,RS
22587,CLEVERSON BATISTA PEPE - DRUGSTORE - EPP,AVENIDA  REGITE ARAB Nº 56,SAO CARLOS,SP
22588,COMERCIAL DE MEDICAMENTOS SILVA LTDA,"RUA THEODOMIRO PORTO DA FONSECA, 1550 - LOJA 03",SAPUCAIA DO SUL,RS
22589,MARLISE SILVA FORTUNATO - EPP,"R. JOSE ANTUNES MATTOS, 216, SALA",ORLEANS,SC
22590,MARCELLE SILVA BARBOSA & CIA LTDA. ME,"PCA DR PAIVA DE OLIVEIRA, 425",CALDAS,MG
22591,GILDO PEREIRA DA ROCHA - ME,"RUA  JOAO ALVES DO NASCIMENTO, 439",PATROCINIO,MG
22592,DROGARIA ANA JULIA LTDA - ME,AV MINISTRO SALGADO FILHO 1567 LOJA 01,VILA VELHA,ES
22593,M. G. R. SOCIEDADE FARMACEUTICA LTDA,"WASHINGTON VIEIRA, 135",PAPAGAIOS,MG
22594,DROGARIA COUTINHO & TENORIO LTDA - ME,"PRACA VIRGILIO DE MELO FRANCO, Nº 102 LOJA 01",BUENO BRANDAO,MG
22595,DROGARIA MARCELA ELDORADO LTDA - ME,"AV CARAITA, 5",ELDORADO,SP
22596,E. G. ARARAQUARA LTDA - ME,"AVENIDA JOAO BATISTA DE OLIVEIRA, Nº 670",ARARAQUARA,SP
22597,DROGARIA S.G.LTDA - ME,RUA URBANO NETO 801,ARACAJU,SE
22598,NILVA RODRIGUES DOS SANTOS & CIA LTDA-ME,"RUA TOMAS NOVELINO, Nº 173",DELFINOPOLIS,MG
22599,DROGAMINAS CARANGOLA LTDA.-ME,"RUA PADRE CANDIDO, 38",CARANGOLA,MG
22600,D A L COMERCIO LTDA - ME,rua FERNANDES LIMA,ARAPIRACA,AL
22601,ALESSANDRO RODRIGUES DE OLIVEIRA IBIUNA - ME,"AVENIDA SAO SEBASTIAO, 460",IBIUNA,SP
22602,GILFARMA COSMETICOS E MEDICAMENTOS LTDA,"R. DR. GOUVEIA NOBREGA, 122",CAMPINA GRANDE,PB
22603,FARMACIA LAMAPFEN LTDA,"JOAO FRAGA NETO, 52",SAO JOSE DOS PINHAIS,PR
22604,DROGADIAS COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,"R. DO COMERCIO, 2",GOIANIA,GO
22605,ISMO LTDA,AV BANDEIRANTES 809,BELO HORIZONTE,MG
22606,MARIZEIDE SANTOS PINHEIRO & CIA LTDA - ME,"DR. OSVALDO TEIXEIRA, Nº 1177 SALA 01",TUCUNDUVA,RS
22607,EMPREENDIMENTOS PAGUE MENOS S/A,"AV. PLINIO BRASIL MILANO, Nº 1235 - LOJA 01",PORTO ALEGRE,RS
22608,JPA SANTOS FARMACIA LTDA - ME,"AVENIDA  SAO LUCAS, 420",VOLTA REDONDA,RJ
22609,DROGARIA IMPERIAL LTDA - ME,"RUA AIRES JOCA,  S/N - QD 289 LT 14",PORTO NACIONAL,TO
22610,M S DOS SANTOS DA LUZ DROGARIA,"LINDOLFO SIMOES, 236",CORURIPE,AL
22611,PATRICIA KELLY MANTELO ZANINI,AV DONA RICARDINA Nº601,BARBOSA,SP
22612,FARMACIA PACATUBA LTDA,"R. RAIMUNDO SIQUEIRA, 134",PACATUBA,CE
22613,FARMACIA JESSIFARMA LTDA,AVENIDA 22 DE JULHO,IRINEOPOLIS,SC
22614,DRUGSTORE E DROGARIA CONVENIENCIA SANTA CRUZ LTDA-ME,"PEDRO PAULA PEREIRA, Nº 80",GUARANESIA,MG
22615,BRUNETTA & OLDONI LTDA,RUA CONCORDIA,SAO JORGE DOESTE,PR
22616,FARMACARMO LTDA,"AV. TANCREDO DE ALMEIDA NEVES, 2127",CARMO DO PARANAIBA,MG
22617,LEANDRO WELDER DE SIQUEIRA - ME,"RUA XV DE NOVEMBRO, 400 - BOX 3 E 4",IBIUNA,SP
22618,EMPREENDIMENTOS PAGUE MENOS S/A,"AVENIDA JOAO CESAR DE OLIVEIRA, 1144 - loja terreo",CONTAGEM,MG
22619,DROGARIA COSTA & SILVA LTDA.-ME,PRAÇA HENRIQUE VIEIRA Nº 210,AREADO,MG
22620,DROGARIA UNIAO DO ALTO LTDA ME,"MINAS GERAIS, Nº 720",CAJURU,SP
22621,LUCIANO APARECIDO CORREA-CPF 046.832.846-77 - ME,"AV BELO HORIZONTE, 139 - LJ",LONTRA,MG
22622,KAISER KORBES & CIA LTDA - EPP,"AV URUGUAI, 2092 - SALA 01",TUPARENDI,RS
22623,WAGNER OLIVEIRA ALVES ME,"AV. SEGUNDA RADIAL, 1672",GOIANIA,GO
22624,DROGARIA FARMADEL LTDA - EPP,"RUA TRINTA E SETE, 1 - QD 04",SAO LUIS,MA
22625,DROGAXISTO LTDA,"JOSE AFONSO, 243",CARMO DA MATA,MG
22626,DROGARIA TREVO LTDA - ME,AV SIMON BOLIVAR 1038,IPATINGA,MG
22627,DAMASSINI & CIA LTDA - ME,AV MAUA 1564,TUPARENDI,RS
22628,MARCATO & CANOBAS LTDA -ME,"RUA NOSSA SENHORA DAS GRACAS, 3826",JALES,SP
22629,EMPREENDIMENTOS PAGUE MENOS S/A,"AVENIDA BOULEVARD PEDRO RATES DE OLIVEIRA, 693",MANACAPURU,AM
22630,PRADO MARTINS & MARTINS LTDA,"AVENIDA DR. CICERO DE MORAES, 570 - SALA",SAO PEDRO DO IVAI,PR
22631,DROGARIA SILVESTRE E FERREIRA LTDA,"LUIZA MARIA NASCIMBENE, Nº 1057 LOJA 01",IPATINGA,MG
22632,FARMACIA NIFARMA LTDA - ME,"AVENIDA DUQUE DE CAXIAS, 403",JAGUARUNA,SC
22633,IMIFARMA PRODUTOS FARMACÊUTICOS E COSMÉICOS S/A,"AV. BEZERRA DE MENEZES, 560",FORTALEZA,CE
22634,M.P. FONSECA & CIA LTDA - ME,RUA CARLOS GOMES Nº 913,JUNDIAI,SP
22635,EMPREENDIMENTOS PAGUE MENOS S.A.,"RUA DIAS DA CRUZ, 297",RIO DE JANEIRO,RJ
22636,DROGARIA COQUEIRO LTDA - ME,"AV GETULIO VARGAS, 598",MANHUACU,MG
22637,IBIFARMA DROGARIA LTDA - ME,RUA MARECHAL RONDON 875 BOX 01 E 02,BAYEUX,PB
22638,M & M DROGARIA LTDA,"RUA DESEMBARGADOR ALBERTO LUZ, Nº 55",TRES CORACOES,MG
22639,RICARDO YONAMINE - ME,R REGINA BERTON PERISSINOTO 06,PAULINIA,SP
22640,J C MASCARENHAS - ME,"RUA DR GIDASIO O SOUZA, 183 (CASA)",NOVA FATIMA,BA
22641,DROGARIA E PERFUMARIA TULIMAR LTDA - ME,"AVENIDA CORONEL PEDRO LINO, 171",MARTINHO CAMPOS,MG
22642,MARCIO PACIFICO VALINHOS - EPP,"DOM NERY, 535",VALINHOS,SP
22643,ALINE ANDREIA KARASEK BIANCHI MEDEIROS - ME,"R MARECHAL FLORIANO, 2220",SANTO ANGELO,RS
22644,DROGARIA E PERFUMARIA MEGA FARMA LTDA.,"RUA BRASIL, 460",IPATINGA,MG
22645,DROGARIA PAULIMOTA E SILVA LTDA - EPP,"AVENIDA NOSSA SENHORA DA PIEDADE, Nº 17",PARA DE MINAS,MG
22646,DROGARIA DA ECONOMIA LTDA - ME,"RUA RAIMUNDO NONATO DE SOUZA, Nº 96, LOJA 01",RIBEIRAO DAS NEVES,MG
22647,MUNDIAL FARMA FARMACIA LTDA - ME,RUA IMIGRANTE MELLER 378 SALA 01,CRICIUMA,SC
22648,E A BORELLI - ME,"R. JOAO MELARI, 329",ARARAS,SP
22649,REGO & REBOUCAS LTDA,"RUA CEL ALEXANDRINO, Nº S/N",ARACATI,CE
22650,FARMACIAS MENOR PRECO LTDA - ME,"AVENIDA ADELINO AMERICO DE AZEVEDO, 161",PORANGATU,GO
22651,SEONIO LUIZ LAUREANO,"PCA ABRAO MANOEL, 528",TRINDADE,GO
22652,ANDREA MARCIA CLEMENTE COELHO LACERDA,"BENEDITO VALADARES, 44, LOJA B",ABRE CAMPO,MG
22653,ROZIANE V. S. RODRIGUES - ME,"COMERCIAL TRES PODERES, 107",TIBAU DO SUL,RN
22654,N.H. COMERCIO LTDA,"PRAÇA COMENDADOR SAMPAIO, 08, LOJA",SANTO AMARO,BA
22655,MARTA BARBOSA LEITE PEREIRA EPP,"PRAÇA PEDRO JOAQUIM DE SOUZA, 69",GRAVATA,PE
22656,DROGARIA LUZITHANIA LTDA,"RUA PRISCO MEDEIROS, 2008",TERESINA,PI
22657,G & B COMERCIO DE PRODUTOS FARMACEUTICOS LTDA ME,"RUA 02 LOTE LOJA 03, 20, ACAM PACH FERNANDES",BRASILIA,DF
22658,DROGARIA SAO SEBASTIAO ATIBAIA LTDA - EPP,"AVENIDA SAO JOAO, 289",ATIBAIA,SP
22659,IMIFARMA PRODUTOS FARMACEUTICOS E COSMETICOS SA,"AVENIDA JERONIMO DE ALBUQUERQUE, 02",SAO LUIS,MA
22660,NELI MARIA VEIT COSTA & CIA LTDA - ME,"AVENIDA PORTO ALEGRE, 1275 - LOJA",PRIMAVERA DO LESTE,MT
22661,DROGARIA FV PHILIPPI LTDA,"RUA DR. NEREU RAMOS, Nº 265",GASPAR,SC
22662,LEITE & ZANOTTO DROGARIA LTDA,"RUA ANTONIO STELLA, Nº 339",IBIRAIARAS,RS
22663,ALINE COGHETTO,"AVENIDA MAURICIO CARDOSO, Nº 790, CASA",CAMPINAS DO SUL,RS
22664,ROCAFARMA FARMACIA LTDA - ME,rua GENERAL DALTRO FILHO 929,ROCA SALES,RS
22665,JOAO BARBOSA MARTINS BEMFICA & CIA LTDA,"TEOFILO TOSTES, Nº 206",MANHUMIRIM,MG
22666,FARMACIA TRINDADE LTDA EPP,"RUA FREI CAETANO, 283, SALA 03",PONTE SERRADA,SC
22667,DROGARIA J. B. S. LTDA - ME,"AVENIDA JK, Nº 1665",DIVINOPOLIS,MG
22668,MARINA MONTAGNANE MARTINI ME,AVENIDA  ARSENIO RAMOS MARTINS Nº 106,SERRANA,SP
22669,CLAUDINEI MONTES DA SILVA - ME,"AV DR. CICERO DE MORAES, 533",SAO PEDRO DO IVAI,PR
22670,EMPREENDIMENTOS PAGUE MENOS S.A.,AV. JOSEFA TAVEIRA,JOAO PESSOA,PB
22671,J.Z - COMERCIO DE MEDICAMENTOS LTDA - ME,RUA VEREADOR ANTONIO BORTOLOTTO 519,MARINGA,PR
22672,MG MOOCA DROGARIA LTDA - EPP,"RUA JOAO PADILHA, 127 - LJ 21- PAV. SUPERIOR",SAO PAULO,SP
22673,A B S ARAGAO & CIA LTDA,"EST DOS REMEDIOS, 77",RECIFE,PE
22674,EMPREENDIMENTOS PAGUE MENOS S/A,"avenida ATAIDE TEIVE, 5300",BOA VISTA,RR
22675,O NASCIMENTO DA SILVA - ME,TR WE 54 41 CJ CIDADE NOVA VIII,ANANINDEUA,PA
22676,HELOISIO CHEVES DE MAGALHAES & CIA LTDA,"AVENIDA CENTENARIO, 456",PARAMIRIM,BA
22677,IURI RODRIGUES DIAS - ME,R MONTEIRO LOBATO 12 TERREO,ITAJUIPE,BA
22678,FARMACIA BIOFAR LTDA ME,"28 DE AGOSTO, 2070",GUARAMIRIM,SC
22679,DROGARIA E FARMACIA LIVRAMENTO LTDA - EPP,"PC ALMIR PUBLIO DE CASTRO, 90 - COMODO",DOM BASILIO,BA
22680,FARMACIA JADEZANDA LTDA ME,"ESTACAO METROVIARIA DA CENTRAL, S/N, AVN PRESIDENTE VARGAS",RIO DE JANEIRO,RJ
22681,EMPREENDIMENTOS PAGUE MENOS S.A.,AVENIDA AGAMENON MAGALHÃES  Nº 1020,CARUARU,PE
22682,A M N BRASIL LTDA - ME,"CJ DO MERCADO, S/N",SENA MADUREIRA,AC
22683,J. PIRES PEREIRA - EPP,R DUQUE DE CAXIAS 53 LOJA 53,LORENA,SP
22684,FARMACIA NOVA AMERICA LTDA,"AVENIDA THOMAZ LUIZ ZEBALLOS, Nº 1194",GUAIRA,PR
22685,DROGARIA DIAS E LOPES LTDA - ME,R PROFESSOR JOSE LOPES 4,CANAA,MG
22686,C.R.LOPES DROGARIA LTDA.ME.,"RUA JOAO MARIA CANCELLIER, 20",URUSSANGA,SC
22687,CALLFARMA COMERCIO DE MEDICAMENTOS - EIRELI - ME,"AV DOUTOR VICTOR DO AMARAL, 829",ARAUCARIA,PR
22688,H.B.J.N FARMACIAS LTDA,"RUA HORIZONTINA, 919",TRES DE MAIO,RS
22689,SERVICO SOCIAL DA INDÚSTRIA,"AVENIDA LUIZ DE CAMÕES, Nº 311",LAGES,SC
22690,DROGAREM FARMACIA E PERFUMARIA LTDA.,RUA CONSELHEIRO DANTAS Nº 430,CURITIBA,PR
22691,CARVALHO & FERRARI FARMACIA LTDA - ME,"RUA DR ANTENOR SOARES GANDRA,  823",JUNDIAI,SP
22692,J. R. FONSECA DINIZ - ME,AV PADRE JOAO BOSCO  1085,AGUA BOA,MT
22693,KI FARMA COMERCIO DE MEDICAMENTOS LTDA - ME,"RUA TREZE DE MAIO, 131 - SALA 02",BIGUACU,SC
22694,FARMÁCIA CORREDATO LTDA-ME,RUA 07 DE SETEMBRO Nº706,MARECHAL CANDIDO RONDON,PR
22695,RIEGER & CIA LTDA,"AV RIO GRANDE DO SUL, 820",MARECHAL CANDIDO RONDON,PR
22696,MARCOS ANTONIO DA SILVA- CPF 983116206-44 - ME,"AV GOVERNADOR VALADARES, 84",DORES DE CAMPOS,MG
22697,DROGARIA SAO JORGE LTDA ME,"PCA BELARMINO ESSADO, 1532A",INHUMAS,GO
22698,PHARMAGEM LTDA,JOSE DE MAGALHAES PINTO 1586 A,CORONEL FABRICIANO,MG
22699,"GONCALVES, PINHEIRO & CIA LTDA - ME","AVENIDA MAURICIO CARDOSO, Nº 178, TERREO",PIRATINI,RS
22700,DROGARIA J R LTDA - ME,RUA MARTINS BASTOS 405 LOJA 2,PORTO ALEGRE,RS
22701,DROGARIA CAMPO VERDE LTDA-ME,"AV BRASIL, 141",CAMPO VERDE,MT
22702,MARCELO SAHIUM BARRIONOVO - ME,"RUA LEOLINO COTRIM, 96",PITANGUEIRAS,SP
22703,DEMARI & KRUPEK LTDA,"PRAÇA EVANGELINO MEIRELES, Nº 37",LUZIANIA,GO
22704,FARMACIA CENTRAL CARLOPOLENSE LTDA - EPP,"RUA BENEDITO SALLES, 903, COMERCIAL",CARLOPOLIS,PR
22705,COMERCIAL FARMACEUTICA ALVES & ALVES LTDA ME,"RUA CORONEL JOSE DAVID BARROS E SILVA, 36",SAO JOSE DO BELMONTE,PE
22706,FABIANO DE ALMEIDA LOPES - DROGARIA - ME,"AV. SACADURA CABRAL, 1.876",BARRETOS,SP
22707,TANEMIL FARMA LTDA,"AVENIDA REPUBLICA DO LIBANO, Nº 1620, LOJA: 01",GOIANIA,GO
22708,ANA OLIVIA MIRANDA MACHADO GRANDO ME,"AVENIDA 3 DE MAIO, 1694",CESARIO LANGE,SP
22709,DROGATIM DROGARIAS LTDA,"AVENIDA GUARARAPES, Nº 111",RECIFE,PE
22710,TOLOTTI & WILHELM LTDA - EPP,"VALDEMAR FRANCISCO, 451",BARRA VELHA,SC
22711,BORTOT E SOARES LTDA,AV GENECY DELFINO COELHO 925,ICARAIMA,PR
22712,VALGOI E FONSECA LTDA - ME,"Rua Lindolfo Collor, 651",SAO LEOPOLDO,RS
22713,ARAUJO ARAUJO MEDICAMENTOS E PERFUMARIA LTDA,AV VALE DO SAO FRANCISCO 51,UBAI,MG
22714,DROGARIA V. R. GONÇALENSE LTDA,"RUA CORONEL MOREIRA CÉSAR, Nº 91",SAO GONCALO,RJ
22715,FARMASIND LTDA ME,"RUA NEREU RAMOS, Nº 287 SALA 01",HERVAL DOESTE,SC
22716,EMPREENDIMENTOS PAGUE MENOS S/A,"AVENIDA ASSIS CHATEAUBRIAND, 1086 - QUADRAG5 LOTE 8E",GOIANIA,GO
22717,FARMACIA DROGAVALLI LTDA ME,"RUA SAO PEDRO, 800 E",CHAPECO,SC
22718,VINICIUS JOSE STIVALLE - ME,"RUA MOGI GUACU, 1657 - SL 01 TERREO",CAMPINAS,SP
22719,EMPREENDIMENTOS PAGUE MENOS S.A.,AVENIDA NAZARÉ Nº 1034,BELEM,PA
22720,DROGARIA E PERFUMARIA SILVA E CONTIJO LTDA,"RUA TIRADENTES, 245",CARMO DO CAJURU,MG
22721,MASIL - COMERCIAL FARMACEUTICA LTDA - EPP,"RUA SAO SEBASTIAO, 581, TERREO",RIBEIRAO PRETO,SP
22722,RONALDO JOSE GONCALVES & CIA LTDA ME,"RUA DR WADIH BACHA, 73",LAMBARI,MG
22723,DROGARIA RD COELHO LTDA,"RUA JOAO DE PAIVA, 31, A",MORRO DA GARCA,MG
22724,LUCAS GONTARZ,"AV. VICENTE MACHADO, 1348",IRATI,PR
22725,JANEIDE ARAUJO DE LIMA MELO,RUA SEVERINA B. COUTINHO  S/Nº,MAMANGUAPE,PB
22726,FARMACIA E DROGARIA PADRE MANOEL LTDA,"R. ANGELO SANTINELI, 283",RIO DOS INDIOS,RS
22727,FARMACIA & DROGARIA CAMPO DA AVIACAO LTDA - ME,RUA SANT ANA 1985,IMBITUBA,SC
22728,TEIXEIRA ALVARES DROGARIA E COMERCIO LTDA - ME,AV JOSE RODRIGUES DE MORAIS NETO 1830 QD 171 LT 01,GOIANIA,GO
22729,GILBERTO MARO ME,"VOLUNTARIOS DE SAO PAULO, Nº 3051",SAO JOSE DO RIO PRETO,SP
22730,CORDEIRO & COSTA LTDA,"PRAÇA PADRE WALDEMAR, Nº 300",PAPAGAIOS,MG
22731,MILTON SCHAEFFER & CIA LTDA - ME,AV FLORES DA CUNHA 2227 SALA 01,CARAZINHO,RS
22732,DM FARMÁCIA LTDA,"RUA MARECHAL DEODORO, N° 626, SALA 02",CAMPOS NOVOS,SC
22733,R DA SILVA CARDOSO,"RUA EMBRATEL, 07",SAO LUIS,MA
22734,SHEILA MONTEIRO DA SILVA - ME,PCA NOE RODRIGUES DE LIMA 170,SAO JOSE DOS RAMOS,PB
22735,SERVICO SOCIAL DA INDÚSTRIA,RUA ALMIRANTE TAMANDARÉ Nº 654,SAO MIGUEL DO OESTE,SC
22736,DIVINO FILHO FERREIRA,"BR 262 - KM 66, 24, A",CAMPO FLORIDO,MG
22737,DROGARIA CAPELA NOVA LTDA,"NOSSA SENHORA DAS DORES, 290",CAPELA NOVA,MG
22738,DROGARIA NOVA VIDA LTDA - ME,R ISABEL PEREIRA 36,LAGOA,PB
22739,FARMACIA CASTRO OLIVEIRA LTDA,"PRAÇA LUIZ GOMES, Nº 230, TERREO",URANDI,BA
22740,SERV SAUDE SANTO ANTONIO LTDA - ME,RUA APARECIDA 535,SOROCABA,SP
22741,MARIA DAS GRACAS TORQUATO MAIA - ME,AV VEREADOR MANOEL BARRETO DE LIMA 121,PASSAGEM,RN
22742,GRACIFARMA FARMACIA LTDA ME,"AVENIDA BRASIL, Nº 400, SALA: 01",SAUDADES,SC
22743,F. M. F. DE SOUSA - ME,"RUA CJ PORTO ALEGRE, 26 - QUADRA A2 CASA 26",TERESINA,PI
22744,IMIFARMA PRODUTOS FARMACEUTICOS E COSMETICOS SA,"COMERCIAL TRAVESSA 9 DE JANEIRO, 361",BELEM,PA
22745,DROGARIA SOARES E CORREA DE CAMPOS LTDA - ME,"R DR LACERDA SOBRINHO, 39 - A",CAMPOS DOS GOYTACAZES,RJ
22746,JOSE ARIMATEIA DO NASCIMENTO - ME,"R CEL VALDEVINO LOBO , 57",BREJO DO CRUZ,PB
22747,WESLEY MENDONCA DOS SANTOS E CIA LTDA - ME,"AV PREFEITO RUTILIO RIBAS FERREIRA, 42",NOSSA SENHORA DAS GRACAS,PR
22748,DROGARIA OLIVEIRA MACHADO LTDA - ME,"RUA COIMBRAS, 571",PASSOS,MG
22749,WENDEL ALVES GARCIA,"SAO JOSE, 16",SAO JOSE DO JACURI,MG
22750,MV FARMACEUTICA LTDA - ME,"R. DAS PALMEIRAS, Nº 52",ARAGUARI,MG
22751,DROGARIA LVD LTDA ME,CAPITAO ADOLFO CASTRO 353,CAMAQUA,RS
22752,DROGARIA LIMA DE MURIAE LTDA,"RUA CORONEL MARCIANO RODRIGUES, Nº 216 LOJA A",MURIAE,MG
22753,DROGARIA RIBEIRO FARIA LTDA,"AVENIDA KALED COSAC - LOTE 10, QUADRA 25",CRISTALINA,GO
22754,PROTEGE DROGARIA LTDA - EPP,"AVENIDA JOAO LUIZ POZZOBON, 1024",SANTA MARIA,RS
22755,FARMAN - FARMACIA DE DISPENSACAO LTDA ME,"AV. DOM PEDRO II, 650, SALA 02",SERRA ALTA,SC
22756,EMPREENDIMENTOS PAGUE MENOS S/A,"AVENIDA JOAQUIM NABUCO, 714",NOVO HAMBURGO,RS
22757,DROGARIA PIRASSUNUNGA LTDA - ME,"R. DUQUE DE CAXIAS, 1669",PIRASSUNUNGA,SP
22758,NATURATIVA - FARMACIA DE MANIPULACAO LTDA - ME,"RUA JULIO DE CASTILHOS, 1342",TAPEJARA,RS
22759,COMERCIO DE MEDICAMENTOS RONDA ALTA LTDA - EPP,R 15 DE NOVEMBRO 128 SALA 01,RONDA ALTA,RS
22760,RODRIGO ROCHA DE LIMA - ME,"AVENIDA PADRE INACIO DE ALMEIDA, 525",GUARABIRA,PB
22761,LAELSON VIRGULINO DA SILVA ME,"AVENIDA OLINDA, 30 - PREDIO",JATOBA,PE
22762,C.L.I. FARMACIAS LTDA,"JOAO CANCIO JACQUES, 49, salas - 09 e 10",FLORIANOPOLIS,SC
22763,SB COMERCIO LTDA,"AVENIDA NOEL NUTELS, 22",MANAUS,AM
22764,BARRETO & ALCANTARA LTDA,"RUA LUIZ GONZAGA, 32",IPANGUACU,RN
22765,GILBERTO SPEZIA & CIA LTDA - ME,Rua PRESIDENTE COSTA E SILVA 39,RIQUEZA,SC
22766,DROGARIA SAUDE CATALANA LTDA - ME,"RUA JOSE MATHIAS DA SILVEIRA,41 - SALA A",CATALAO,GO
22767,ALISSON CESAR MARTINS MARIOTO - ME,"RUA ALVINO GOMES TEIXEIRA, Nº 3764",PRESIDENTE PRUDENTE,SP
22768,EFICACIA FARMACIA DE MANIPULACAO LTDA - EPP,RUA JOAO BAUER 472,ITAJAI,SC
22769,EMPREENDIMENTOS PAGUE MENOS S.A.,"AV. PRESIDENTE GETULIO VARGAS, 658",CABO DE SANTO AGOSTINHO,PE
22770,FARMACIA TATIFARMA LTDA ME,"RUA AFONSO COLODEL, 45",TURVO,SC
22771,JOSE ROBERTO DA SILVA CPF: 749.426.466-34 - ME,"AVENIDA DAS NACOES, 355",PASSOS,MG
22772,IMIFARMA PRODUTOS FARMACEUTICOS E COSMETICOS SA,"comercial RUA PEREIRA VALENTE, 1014",FORTALEZA,CE
22773,PSZYBYLSKI & PSZYBYLSKI LTDA - ME,"AVENIDA MONTREAL, 896",SARANDI,PR
22774,DROGAMAIS MEDICAMENTOS LTDA - EPP,"AV. PARANA, 1108, SETOR 06",VILHENA,RO
22775,SERVIÇO SOCIAL DA INDÚSTRIA,"AVENIDA DOS IMIGRANTES, Nº 1680",CRICIUMA,SC
22776,V. VITOR DE LIMA & CIA LTDA,RUA 9 DE JULHO Nº 1125,MIRANDOPOLIS,SP
22777,FARMACIA PAIVA LTDA,"RUA DR. LUIZ RENO, Nº 373",ITAJUBA,MG
22778,CORREDATO & PUGSLEY LTDA,"RUA PARANÁ, Nº 2197",MEDIANEIRA,PR
22779,DROGARIA DA VOVO LTDA - ME,RUA LUÍS CASSIANO Nº 54,SABARA,MG
22780,DROGARIA JOAO PAULO LTDA - ME,R 852 31,VOLTA REDONDA,RJ
22781,FARMACIA POPULAR SOUZA & AMORIM LTDA - ME,"AVENIDA BRASIL, 2464 - C",SANTA LUZIA DOESTE,RO
22782,EMPREENDIMENTOS PAGUE MENOS S.A.,"AVENIDA CARAPINIMA, Nº 2200   LOJA 102 A",FORTALEZA,CE
22783,DIVINEIA RIBEIRO DE SOUZA,"AV TIRADENTES, 240",MANGA,MG
22784,ALCAR FARMACIAS LTDA - ME,"AV FLORES DA CUNHA, 2134 - LOJAS 06,07 E 08",CACHOEIRINHA,RS
22785,EMPREENDIMENTOS PAGUE MENOS S/A,"AVENIDA GOIAS, 1332",JATAI,GO
22786,PAULO ROBERTO CASTRO NOVAES - ME,"RUA OLIVEIRA BRITO, 122",PIRIPA,BA
22787,DROGARIA NAZARENO LTDA ME,"AV Padre Francisco de Andrade, 06",NAZARENO,MG
22788,COMERCIAL DRUGSTORE LTDA,RUA QUINZE DE NOVEMBRO Nº 90,GARANHUNS,PE
22789,DROGARIA ANA & ANA BARROSO LTDA,"CEL ARTHUR NAPOLEAO, Nº 02",BARROSO,MG
22790,DROGATIM DROGARIAS LTDA,"AVENIDA PRESIDENTE EPITACIO PESSOA, 1648",JOAO PESSOA,PB
22791,JULIO CESAR MELO DA ROCHA - ME,"RUA MIRIAN SOUTO MAIOR, 46",CAETES,PE
22792,VIDA FORMULAS - FARMACIA E MANIPULACAO LTDA - ME,AVENIDA BRASIL 539,CAMBIRA,PR
22793,GUIZELIN & CARREIRA LTDA - ME,"SAO FRANCISCO, 573",JUNDIAI DO SUL,PR
22794,R PELVAS MARTINS,"PCA MARCOS AURELIO,54 - CX POSTAL 46 - CENTRO",BOM JESUS,PI
22795,MARCIO REZENDE DE OLIVEIRA - ME,Avenida FRANCISCO TAVARES MORAIS 245,JAPARAIBA,MG
22796,CENTRALFARMA - COMERCIO DE PRODUTOS FARMACEUTICOS LTDA. - EPP,"AVENIDA DOM PEDRO II, 35 - SALA 101",VIDEIRA,SC
22797,EMPREENDIMENTOS PAGUE MENOS S.A.,RUA 15 DE JULHO Nº8,JUAZEIRO,BA
22798,NEVES & LONGHINOTI LTDA,"PÇA DARIO DE ALMEIDA NEVES, Nº109 B",JAGUARAO,RS
22799,MAURICIO NEVES FARMACIA ME,"AV RIO BRANCO, 109",CARUARU,PE
22800,FARMACIA DA PRACA DA VENDA DA CRUZ LTDA - ME,"RUA DR PORCIUNCULA, 109 - LOJA 11",SAO GONCALO,RJ
22801,FARMACIA SEARA LTDA - EPP,"AV ANITA GARIBALDI, 208, SALA 01",SEARA,SC
22802,SB COMERCIO LTDA,"RUA ACRE, 11 - Q32 CJ VIEIRALVES",MANAUS,AM
22803,FERNANDES E ARAUJO LTDA - ME,predio MARISTELA ALVES 2,NATAL,RN
22804,DROGARIA DROGANORTE SOROCABA LTDA ME,"RUA MICHEL CHICRI MALUF, 519, SALA 04",SOROCABA,SP
22805,KATIA ELENA ZAMBONI ME,"R. DR BERNARDO RIBEIRO VIANA, 1176,",PALMAS,PR
22806,JEAN CARLO FAUTH FURGHIERI - FARMACIA,"IGUACU, 820, SALA 01",MANGUEIRINHA,PR
22807,ELIANE GOMES CANABARRO ME,"RUA GETULIO CORREIA LIMA, 239",MACEIO,AL
